1	99730
2	99625
3	99515
4	99433
5	99314
6	99206
7	99076
8	99014
9	98922
10	98814
11	98796
12	98742
13	98611
14	98530
15	98485
16	98471
17	98450
18	98401
19	98352
20	98299
21	98246
22	98202
23	98182
24	98156
25	98117
26	98105
27	98116
28	98152
29	98168
30	98185
31	98192
32	98176
33	98154
34	98115
35	98109
36	98114
37	98130
38	98129
39	98106
40	98085
41	98058
42	98011
43	97982
44	97958
45	97936
46	97917
47	97868
48	97849
49	97792
50	97745
51	97701
52	97669
53	97612
54	97547
55	97494
56	97444
57	97393
58	97343
59	97348
60	97351
61	97364
62	97362
63	97325
64	97307
65	97286
66	97294
67	97322
68	97329
69	97339
70	97322
71	97298
72	97296
73	97276
74	97259
75	97191
76	97124
77	97049
78	97011
79	96946
80	96889
81	96797
82	96729
83	96658
84	96621
85	96582
86	96566
87	96510
88	96491
89	96454
90	96462
91	96464
92	96489
93	96486
94	96489
95	96478
96	96494
97	96478
98	96482
99	96456
100	96450
101	96426
102	96441
103	96456
104	96488
105	96474
106	96478
107	96464
108	96496
109	96499
110	96496
111	96458
112	96453
113	96433
114	96447
115	96446
116	96474
117	96464
118	96471
119	96461
120	96485
121	96501
122	96517
123	96472
124	96455
125	96436
126	96454
127	96452
128	96464
129	96450
130	96461
131	96454
132	96482
133	96490
134	96519
135	96493
136	96469
137	96438
138	96457
139	96459
140	96470
141	96440
142	96447
143	96444
144	96475
145	96487
146	96508
147	96495
148	96490
149	96452
150	96459
151	96462
152	96477
153	96446
154	96437
155	96430
156	96465
157	96480
158	96505
159	96484
160	96492
161	96473
162	96473
163	96464
164	96480
165	96453
166	96443
167	96420
168	96451
169	96470
170	96498
171	96481
172	96481
173	96475
174	96494
175	96478
176	96482
177	96456
178	96450
179	96426
180	96441
181	96456
182	96488
183	96474
184	96478
185	96464
186	96496
187	96499
188	96496
189	96458
190	96453
191	96433
192	96447
193	96446
194	96474
195	96464
196	96471
197	96461
198	96485
199	96501
200	96517
201	96472
202	96455
203	96436
204	96454
205	96452
206	96464
207	96450
208	96461
209	96454
210	96482
211	96490
212	96519
213	96493
214	96469
215	96438
216	96457
217	96459
218	96470
219	96440
220	96447
221	96444
222	96475
223	96487
224	96508
225	96495
226	96490
227	96452
228	96459
229	96462
230	96477
231	96446
232	96437
233	96430
234	96465
235	96480
236	96505
237	96484
238	96492
239	96473
240	96473
241	96464
242	96480
243	96453
244	96443
245	96420
246	96451
247	96470
248	96498
249	96481
250	96481
251	96475
252	96494
253	96478
254	96482
255	96456
256	96450
257	96426
258	96441
259	96456
260	96488
261	96474
262	96478
263	96464
264	96496
265	96499
266	96496
267	96458
268	96453
269	96433
270	96447
271	96446
272	96474
273	96464
274	96471
275	96461
276	96485
277	96501
278	96517
279	96472
280	96455
281	96436
282	96454
283	96452
284	96464
285	96450
286	96461
287	96454
288	96482
289	96490
290	96519
291	96493
292	96469
293	96438
294	96457
295	96459
296	96470
297	96440
298	96447
299	96444
300	96475
301	96487
302	96508
303	96495
304	96490
305	96452
306	96459
307	96462
308	96477
309	96446
310	96437
311	96430
312	96465
313	96480
314	96505
315	96484
316	96492
317	96473
318	96473
319	96464
320	96480
321	96453
322	96443
323	96420
324	96451
325	96470
326	96498
327	96481
328	96481
329	96475
330	96494
331	96478
332	96482
333	96456
334	96450
335	96426
336	96441
337	96456
338	96488
339	96474
340	96478
341	96464
342	96496
343	96499
344	96496
345	96458
346	96453
347	96433
348	96447
349	96446
350	96474
351	96464
352	96471
353	96461
354	96485
355	96501
356	96517
357	96472
358	96455
359	96436
360	96454
361	96452
362	96464
363	96450
364	96461
365	96454
366	96482
367	96490
368	96519
369	96493
370	96469
371	96438
372	96457
373	96459
374	96470
375	96440
376	96447
377	96444
378	96475
379	96487
380	96508
381	96495
382	96490
383	96452
384	96459
385	96462
386	96477
387	96446
388	96437
389	96430
390	96465
391	96480
392	96505
393	96484
394	96492
395	96473
396	96473
397	96464
398	96480
399	96453
400	96443
401	96420
402	96451
403	96470
404	96498
405	96481
406	96481
407	96475
408	96494
409	96478
410	96482
411	96456
412	96450
413	96426
414	96441
415	96456
416	96488
417	96474
418	96478
419	96464
420	96496
421	96499
422	96496
423	96458
424	96453
425	96433
426	96447
427	96446
428	96474
429	96464
430	96471
431	96461
432	96485
433	96501
434	96517
435	96472
436	96455
437	96436
438	96454
439	96452
440	96464
441	96450
442	96461
443	96454
444	96482
445	96490
446	96519
447	96493
448	96469
449	96438
